rent_introduce,rent_address,rent_style,rent_square,rent_orientations,month_price,link
整租・临江港湾 1室1厅 南,临江港湾,1室1厅1卫,50.00O,南,1200,https://wh.zu.ke.com/zufang/WH1639847248059695104.html
独栋・阿拉丁公寓 金色港湾店 都市白领一居室 开间,,1室0厅1卫,30.00O,,1000-1100,https://wh.zu.ke.com/apartment/33546.html
整租・米兰小镇西区 3室2厅 南,米兰小镇西区,3室2厅1卫,96.00O,南,2300,https://wh.zu.ke.com/zufang/WH1639847276350275584.html
独栋・冠寓 武汉高新二路店 毕业生可7折 1室1厅,,1室1厅1卫,30.00O,,1400-1800,https://wh.zu.ke.com/apartment/36534.html
整租・东方花都F区 2室1厅 南/北,东方花都F区,2室1厅1卫,84.81O,南北,2000,https://wh.zu.ke.com/zufang/WH1639835351704928256.html
独栋・冠寓 武汉高新二路店 学生7折优惠 开间,,1室0厅1卫,20.00O,,1300-1500,https://wh.zu.ke.com/apartment/36534.html
整租・金珠港湾二期 3室2厅 南/北,金珠港湾二期,3室2厅2卫,99.55O,南北,2000,https://wh.zu.ke.com/zufang/WH1639842561604452352.html
合租・世纪龙城 5居室 南卧,世纪龙城,5室1厅2卫,28.00O,南,900,https://wh.zu.ke.com/zufang/WH1609023896428740608.html
整租・光谷188国际社区 3室2厅 南/北,光谷188国际社区,3室2厅1卫,115.46O,南北,3800,https://wh.zu.ke.com/zufang/WH1639880784003203072.html
合租・幸福佳苑 3居室 南卧,幸福佳苑,3室1厅1卫,20.00O,南,900,https://wh.zu.ke.com/zufang/WH1609065974017818624.html
整租・瑞云公馆 1室1厅 东南/南,瑞云公馆,1室1厅2卫,39.08O,东南南,1700,https://wh.zu.ke.com/zufang/WH1639916041901441024.html
合租・幸福佳苑 3居室 南卧,幸福佳苑,3室1厅1卫,20.00O,南,700,https://wh.zu.ke.com/zufang/WH1609065001207726080.html
整租・南苑村书院 2室1厅 南/北,南苑村书院,2室1厅1卫,68.31O,南北,3100,https://wh.zu.ke.com/zufang/WH1639920315939160064.html
合租・丁字桥路44号 4居室 南卧,丁字桥路44号,4室1厅1卫,18.00O,南,800,https://wh.zu.ke.com/zufang/WH1609042755827269632.html
整租・千家鑫苑 2室2厅 南,千家鑫苑,2室2厅1卫,92.27O,南,2700,https://wh.zu.ke.com/zufang/WH1639929483672682496.html
整租・南国悦公馆 1室1厅 南,南国悦公馆,1室1厅1卫,42.63O,南,2200,https://wh.zu.ke.com/zufang/WH1639970407123517440.html
整租・营房南村 2室2厅 南,营房南村,2室2厅1卫,82.00O,南,1500,https://wh.zu.ke.com/zufang/WH1640245413145477120.html
合租・联投驿园 4居室 东南卧,联投驿园,4室1厅2卫,16.00O,东南,1000,https://wh.zu.ke.com/zufang/WH2796312286804058112.html
整租・颐和丽晶 2室1厅 东南,颐和丽晶,2室1厅1卫,50.77O,东南,2300,https://wh.zu.ke.com/zufang/WH1640222036443791360.html
整租・橙果 1室1厅 南,橙果,1室1厅1卫,56.25O,南,2600,https://wh.zu.ke.com/zufang/WH1640261242541047808.html
整租・顶L晶城 2室2厅 南,顶L晶城,2室2厅1卫,89.46O,南,2700,https://wh.zu.ke.com/zufang/WH1640281910158557184.html
合租・十里景秀 4居室 北卧,十里景秀,4室1厅2卫,10.00O,北,650,https://wh.zu.ke.com/zufang/WH2797831209630580736.html
整租・七星雪香花园 2室2厅 南,七星雪香花园,2室2厅1卫,89.00O,南,2300,https://wh.zu.ke.com/zufang/WH1640297457214554112.html
合租・华腾园 4居室 南卧,华腾园,4室1厅1卫,23.00O,南,850,https://wh.zu.ke.com/zufang/WH2800706407513997312.html
整租・小洪山西区 2室1厅 南,小洪山西区,2室1厅1卫,68.39O,南,2300,https://wh.zu.ke.com/zufang/WH1640293270045065216.html
合租・华腾园 4居室 南卧,华腾园,4室1厅1卫,23.00O,南,900,https://wh.zu.ke.com/zufang/WH2800706569372188672.html
整租・世界城尚都 1室1厅 北,世界城尚都,1室1厅1卫,56.63O,北,2300,https://wh.zu.ke.com/zufang/WH1640305182912806912.html
合租・翰林苑小区 4居室 东南卧,翰林苑小区,4室2厅2卫,15.00O,东南,760,https://wh.zu.ke.com/zufang/WH2800744739862233088.html
整租・恒大绿洲 2室1厅 南,恒大绿洲,2室1厅1卫,78.64O,南,1600,https://wh.zu.ke.com/zufang/WH1640341987632611328.html
合租・融科天域 5居室 南卧,融科天域,5室1厅2卫,28.00O,南,1450,https://wh.zu.ke.com/zufang/WH2783332638801805312.html
